90,54,71,-25
7,100,3,25
10,19,14,89
99,-50,43,-12
75,4,-44,46
-95,-80,-27,-24
-4,24,-70,-8
23,-38,-54,10
-37,-32,-33,-83
32,-86,3,-98
-21,-2,-23,-28
26,-52,72,10
18,81,-31,100
90,-47,-65,-98
14,65,32,92
-74,-13,27,-81
56,35,-68,-66
-71,-46,39,-36
-15,69,-98,-12
-20,-71,32,32
48,-1,77,75
-24,-77,-63,-94
80,-18,47,17
64,-68,56,51
-77,-85,-12,35
-27,57,0,-71
-30,100,-2,-5
-23,12,14,-34
11,48,10,62
-74,-75,55,-19
-98,63,-28,94
-86,82,-20,-97
32,-79,-2,-39
9,11,15,-54
89,19,-83,-64
-98,48,17,20
16,77,54,-73
59,36,13,-84
15,-44,-58,-78
11,56,-79,36
-50,-17,-21,42
-6,26,-14,-63
-90,47,-98,-13
-3,29,-46,38
-18,-62,13,30
88,-64,67,7
9,-12,38,-75
-62,-81,-16,-36
-90,19,-6,83
-95,24,76,32
-33,-67,-35,94
-48,-37,14,-7
-13,-84,25,51
89,-24,29,-38
1,10,-60,45
-3,32,92,85
-79,-99,34,-61
-26,79,0,97
-32,65,-5,89
-36,55,75,-11
-20,-56,67,90
95,32,93,33
-43,-8,43,54
-74,82,37,49
-39,-16,52,-96
85,-19,-88,-44
-83,18,-6,43
33,-47,-21,99
-49,-88,71,-9
-78,-55,44,91
59,47,-80,-57
-91,-26,13,46
89,100,54,-16
-68,-49,99,-87
-94,45,-12,42
3,83,0,-14
88,-31,57,43
20,-71,-46,77
1,22,-12,6
-29,-71,45,47
35,-62,-10,-19
-89,-22,57,-35
11,-77,-31,-99
57,83,-8,-87
-95,13,-28,32
-8,96,18,-95
11,-49,85,43
21,-74,48,7
53,21,49,-61
-86,-74,-3,5
-82,-78,98,-43
88,-9,44,89
7,-46,24,-46
-79,11,-30,0
50,-44,-78,7
-41,-27,-82,57
64,-70,-53,-100
42,45,92,4
47,-70,97,-8
55,-4,68,5
-31,44,49,-8
66,-56,-69,-26
-43,91,-80,87
93,-17,57,84
58,13,20,25
95,-62,88,-45
16,40,-21,-11
97,72,-52,-27
14,10,25,8
-76,82,-1,89
58,-61,42,-5
41,23,2,49
5,12,76,68
15,45,42,-45
30,85,52,-45
4,22,54,10
-17,10,33,18
-14,98,-22,-53
89,23,-30,21
-57,82,10,56
-6,11,-68,50
86,39,-36,-15
47,32,74,63
86,-12,11,35
32,-60,90,-91
-52,79,-100,53
-33,-27,18,-34
69,29,-97,-96
15,-45,88,16
-55,-82,-36,-26
52,17,45,44
5,64,36,74
40,42,95,4
2,-36,43,81
-35,76,29,27
-62,-78,-84,59
5,-85,-5,31
22,61,-61,-66
-78,-95,-50,89
29,-56,-72,-20
-39,22,-35,54
54,28,55,100
-50,-59,-66,82
-31,20,83,90
26,18,32,35
-42,90,-53,76
19,72,56,-97
43,-12,-94,76
-92,3,-69,31
-94,-64,-45,-67
10,-17,-91,-66
13,50,73,42
-2,-32,-55,-62
-36,66,28,66
0,24,-67,97
-93,-66,-54,47
-72,33,-17,11
65,41,-17,99
-52,-6,60,-81
89,-6,68,-53
10,-19,-54,14
-23,-65,61,-44
-9,-93,6,-89
82,39,-80,-15
-83,30,7,-13
45,-62,-93,-97
7,-72,-4,-77
77,71,-56,-48
-20,7,-20,-52
11,39,91,-43
14,31,23,-43
-8,79,-90,-81
30,42,50,85
20,3,9,31
-69,-67,-32,-29
40,66,79,-50
54,-2,82,-36
-80,91,82,-68
-99,49,6,54
-63,-10,59,95
74,1,-41,61
25,55,16,-51
97,64,35,-72
-12,43,0,-2
-3,10,-64,-53
-67,-4,-4,45
-2,52,-7,94
84,-43,51,-31
-63,93,-45,44
-24,-97,-4,-34
17,3,5,47
-32,55,-15,13
18,12,6,-17
-11,28,100,23
-58,66,-25,-8
-39,100,6,-97
-92,-45,-37,-50
-83,37,-67,-13
-21,60,15,-84
-4,-9,52,74
-14,2,-84,75
-38,61,92,48
-65,-49,4,-34
22,75,10,77
69,-50,36,69
-16,-23,15,-42
-33,-25,-29,19
44,71,-31,6
3,-48,67,-91
27,-78,-43,80
-83,-94,-28,-90
-23,-3,-59,99
-13,-51,93,-81
-38,38,83,51
-8,32,-81,-16
97,74,10,-73
66,-56,-3,-53
76,73,1,96
91,-91,-65,52
-81,-93,79,-67
11,-73,-89,7
-6,40,-32,-82
-34,-44,68,89
33,28,-56,-5
30,-15,-80,5
63,24,33,-8
-73,-30,-38,87
58,-99,3,53
-35,-43,-5,-80
70,-58,69,89
45,-56,-74,84
19,40,-87,87
61,53,97,84
36,97,-78,-87
-47,63,62,-20
-33,3,-92,0
61,29,45,68
53,79,-1,-19
29,55,-43,-2
-67,3,-48,-64
88,69,-35,-8
-50,23,-57,48
25,-27,9,-76
-60,-34,-43,-1
-73,67,23,70
11,-73,11,-46
-12,56,7,11
45,-25,69,-60
51,-57,50,-36
-3,-48,-62,6
-84,3,84,-38
19,-94,-17,-100
65,67,87,-84
-80,17,46,17
-60,-79,25,-9
32,-85,80,73
11,5,87,-90
67,-19,73,-69
84,-52,-84,-43
-70,-35,-31,59
74,89,65,100
-27,-64,-84,-97
-6,77,-73,-22
92,76,-99,-26
31,88,-35,-11
60,93,54,6
34,-28,13,-96
-79,-64,38,-67
-36,60,11,-43
64,-10,67,52
-76,-25,17,-92
-67,-33,-26,-73
45,80,26,-4
28,-90,-92,-77
47,26,-25,-54
14,-78,3,5
-83,-10,44,-70
